SERIAL No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme
144,National Technical Research Organisation (NTRO),Web-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.,Software,SIH1676,127,Blockchain & Cybersecurity
145,National Technical Research Organisation (NTRO),Developing a tool to provide for real time feeds of cyber incident pertaining to Indian Cyber Space.,Software,SIH1677,120,Blockchain & Cybersecurity
146,National Technical Research Organisation (NTRO),RE-DACT,Software,SIH1678,102,Blockchain & Cybersecurity
147,National Technical Research Organisation (NTRO),Development of Audit script for Windows 11 and Linux OS as per CIS (Centre for Internet Security) bench mark,Software,SIH1679,77,Blockchain & Cybersecurity
148,National Technical Research Organisation (NTRO),Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.,Software,SIH1680,120,Smart Automation
149,National Technical Research Organisation (NTRO),Identification of algorithm from the given dataset using AI/ML Techniques.,Software,SIH1681,131,Blockchain & Cybersecurity
150,National Technical Research Organisation (NTRO),Centralized Automated Solution for Price Estimation & Reasonability.,Software,SIH1682,145,Smart Automation
151,National Technical Research Organisation (NTRO),Development of AI/ML based solution for detection of face-swap based deep fake videos,Software,SIH1683,500,Miscellaneous
152,National Technical Research Organisation (NTRO),Agent-less Windows System Vulnerability and Network Scanner,Software,SIH1684,71,Blockchain & Cybersecurity
153,National Technical Research Organisation (NTRO),Building Offline Parallel AV Pipeline to cater multiple AVs for CII entities.,Software,SIH1685,68,Smart Automation
154,National Technical Research Organisation (NTRO),Tools and techniques for customisation of GPO as per CIS guidelines to deploy on offline / standalone windows.,Software,SIH1686,56,Smart Automation
155,"The National Disaster Response Force (NDRF), MHA",Real-Time Disaster Information Aggregation Software,Software,SIH1687,359,Disaster Management
156,Ministry of Jal Shakti,Development of handheld device/Mobile based Operation & Maintenance tool for asset & consumables inventories and finance management in context of drinking water supply scheme.,Software,SIH1688,117,Smart Automation
157,Ministry of Jal Shakti,Use of Digital Technology to calculate Water Footprints for different Agricultural Products,Software,SIH1689,123,Clean & Green Technology
158,Ministry of Jal Shakti,Use of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.,Software,SIH1690,143,Clean & Green Technology
159,Ministry of Jal Shakti,Adaption of 'Existing Command Area in Response to Shifting of Agricultural Practices,Software,SIH1691,96,Miscellaneous
160,Ministry of Jal Shakti,Forecasting Future Water Requirements and Assessing Storage Capacities in Reservoirs,Software,SIH1692,161,Smart Education
161,Ministry of Jal Shakti,Developing a Robust Hydraulic Transient Analysis Model for Hydro Power and Pumped Storage Schemes.,Software,SIH1693,66,Smart Automation
162,Ministry of Jal Shakti,"Real-time Ganga river water quality forecasting using AI- enabled DSS, satellite data, IoT, and dynamic models.",Software,SIH1694,135,Smart Automation
163,Ministry of Jal Shakti,"A software application for analysis of DWLR data and raise alarms in respect of anomalous values, faulty DWLRs etc",Software,SIH1695,112,Smart Automation
164,Ministry of Jal Shakti,A software application - Ground Water Level Predictor,Software,SIH1696,112,Smart Automation
165,Ministry of Jal Shakti,AI based chatbot for collating and dissemination of information on groundwater.,Software,SIH1697,109,Smart Automation
166,Ministry of Jal Shakti,Development of an educational game (web-based and mobile- based) on groundwater conservation and management,Software,SIH1698,167,Smart Education
167,Ministry of Law and Justice,Lets Learn Constitution in a Simpler Manner-Institution Perspective,Software,SIH1699,301,Miscellaneous
168,Ministry of Law and Justice,Developing an AI based interactive Chatbot or virtual assistant for the Department of Justice Website.,Software,SIH1700,380,Smart Automation
169,Ministry of Law and Justice,AI-Driven Research Engine for Commercial Courts,Software,SIH1701,139,Smart Automation
170,Ministry of Law and Justice,Bail Reckoner,Software,SIH1702,171,Smart Automation
171,Ministry of Law and Justice,Lets Learn Constitution in a Simpler Manner-Citizen Perspective,Software,SIH1703,346,Smart Education
172,Ministry of Panchayati Raj,Gamification for Rural Planning using Drone land survey maps and GIS data.,Software,SIH1704,104,Robotics and Drones
173,Ministry of Panchayati Raj,Development and Optimization of Al model for Feature identification/ Extraction from drone orthophotos.,Software,SIH1705,104,Robotics and Drones
174,"GAIL, Ministry of Petroleum and Natural Gas",Intelligent Enterprise Assistant: Enhancing Organizational Efficiency through AI-driven Chatbot Integration,Software,SIH1706,166,Miscellaneous
175,"GAIL, Ministry of Petroleum and Natural Gas",Development of a Geolocation-Based Attendance Tracking Mobile Application.,Software,SIH1707,425,Miscellaneous
176,"GAIL, Ministry of Petroleum and Natural Gas",Tool for secure automatic network topology creation.,Software,SIH1708,62,Miscellaneous
177,Ministry of Power,Comprehensive Automated Document Verification System for Official Documentation,Software,SIH1709,135,Smart Automation
178,Ministry of Railway,Enhancing Navigation for Railway Station Facilities and Locations,Software,SIH1710,433,Transportation & Logistics
179,Ministry of Railway,Enhancing Rail Madad with Al-powered Complaint Management,Software,SIH1711,275,Smart Automation
180,Ministry of Social Justice and Empowerment,Interactive Skills Enhancer (ISE): A Virtual Reality-Based Learning Tool for Children with ASD and ID,Software,SIH1712,126,Smart Education
181,Ministry of Social Justice and Empowerment,Software for Speech Language Therapy Clinical Services,Software,SIH1714,208,MedTech / BioTech / HealthTech
182,Ministry of Social Justice and Empowerment,AI tool/mobile app for Indian Sign language(ISL) generator from audio-visual content in English/Hindi to ISL content and vice-versa,Software,SIH1715,264,Miscellaneous
183,Ministry of Social Justice and Empowerment,Indian Sing Language to Text/Speech translation,Software,SIH1716,390,Miscellaneous
184,Ministry of Social Justice and Empowerment,Indian Version of Nagish App,Software,SIH1717,217,Miscellaneous
185,Ministry of Social Justice and Empowerment,Capturing Non-manual features of Indian Sign Language and converting it into text,Software,SIH1718,126,Miscellaneous
186,Ministry of Social Justice and Empowerment,Monitoring System for classroom session in skill training programe,Software,SIH1719,103,Smart Education
187,Ministry of Youth Affairs & Sports,Education & Awareness - Effective Use of Technology for Dissemination of Anti-Doping Information,Software,SIH1720,111,Smart Education
188,Ministry of Youth Affairs & Sports,Intelligence and Investigations - Enhancing Anti-Doping Efforts,Software,SIH1721,103,Smart Automation
189,Ministry of Youth Affairs & Sports,Gamification of Anti-Doping Information,Software,SIH1722,113,Smart Education
190,National Aluminium Company Limited (NALCO),"Prediction of Aluminium wire rod physical properties through AI, ML or any modern technique for better productivity and quality control.",Software,SIH1723,128,Miscellaneous
191,Ministry of Housing and Urban Affairs,"Platform for Inter-departmental cooperation (at city level) in Indian Cities, for sharing data & resources, unified phasing, planning and implementation of projects.",Software,SIH1724,195,Miscellaneous
192,Ministry of Housing and Urban Affairs,Utilization of images for monitoring of progress of construction activities for building construction projects.,Software,SIH1725,110,Smart Automation
193,Ministry of Housing and Urban Affairs,Utilization of aerial/ drone-based images for monitoring of progress of construction activities for building construction projects,Software,SIH1726,101,Smart Automation
194,Ministry of Housing and Urban Affairs,Universal Switch Set with Data Encryption and Decryption for Legacy Applications without Cyber Safety Measures,Software,SIH1727,71,Blockchain & Cybersecurity
195,AICTE,Development of a Paperless Scholarship Disbursement System for PMSSS,Software,SIH1728,310,Miscellaneous
196,AICTE,AI supported AICTE Approval process portal,Software,SIH1729,102,Smart Automation
197,AICTE,AI driven Inspection of Institutions,Software,SIH1730,105,Smart Automation
198,MathWorks India Private Limited,SolarQuest: Innovate to Capture More Sunlight and Boost Energy,Software,SIH1731,103,Clean & Green Technology
199,Indian Space Research Organization (ISRO),Enhancement of Permanently Shadowed Regions (PSR) of Lunar Craters Captured by OHRC of Chandrayaan-2,Software,SIH1732,211,Space Technology
200,Indian Space Research Organization (ISRO),SAR Image Colorization for Comprehensive Insight using Deep Learning Model (h),Software,SIH1733,278,Space Technology
201,Indian Space Research Organization (ISRO),Downscaling of Satellite based air quality map using AI/ML,Software,SIH1734,127,Clean & Green Technology
202,Indian Space Research Organization (ISRO),On-device semantic segmentation of WMS services with geospatial data export,Software,SIH1735,67,Smart Automation
203,Indian Space Research Organization (ISRO),"AI based frame interpolation, video generation and display system for WMS services",Software,SIH1736,95,Smart Automation
204,Indian Space Research Organization (ISRO),Automatic Modulation Recognition software for DVB -S2X waveforms,Software,SIH1737,65,Smart Automation
205,Indian Space Research Organization (ISRO),Innovative applications of cloud-optimized geotiffs for INSAT satellite data,Software,SIH1738,64,Clean & Green Technology
206,Indian Space Research Organization (ISRO),Building Integrated Photo-voltaic (BIPV) potential assessment and visualisation using LOD-1 3D City Model,Software,SIH1739,77,Renewable / Sustainable Energy
207,Indian Space Research Organization (ISRO),Development of map-matching algorithm using AI-ML techniques to distinguish vehicular movement on highway and service road,Software,SIH1740,121,Smart Automation
208,Indian Space Research Organization (ISRO),Centralized application-context aware firewall,Software,SIH1741,97,Blockchain & Cybersecurity
209,Ministry of Education,Standardizing Odd School Structures to Improve Educational Policy Implementation and Resource Allocation,Software,SIH1742,103,Smart Automation
210,National Investigation Agency (NIA),Parsing of Social Media Feeds,Software,SIH1743,218,Miscellaneous
211,National Investigation Agency (NIA),Creating a cyber triage tool to streamline digital forensic investigation,Software,SIH1744,118,Blockchain & Cybersecurity
212,National Critical Information Infrastructure Protection Center (NCIIPC),De-anonymizing of entities on the onion sites operating on TOR Network,Software,SIH1745,87,Blockchain & Cybersecurity
213,National Critical Information Infrastructure Protection Center (NCIIPC),Improving open source software security using Fuzzing,Software,SIH1746,79,Blockchain & Cybersecurity
214,National Critical Information Infrastructure Protection Center (NCIIPC),Improving Android security: Application security for mobile app on Android 14 or higher,Software,SIH1747,80,Miscellaneous
215,National Critical Information Infrastructure Protection Center (NCIIPC),Creating a Framework for Static Analysis of Vulnerabilities in Android Applications,Software,SIH1748,77,Miscellaneous
216,National Critical Information Infrastructure Protection Center (NCIIPC),Recovery of Deleted Data and Associated Metadata from XFS and Btrfs Filesystems,Software,SIH1749,91,Blockchain & Cybersecurity
217,National Critical Information Infrastructure Protection Center (NCIIPC),Creating a Comprehensive Web Application Fuzzer,Software,SIH1750,111,Miscellaneous
218,Ministry of Communication,"Dashboard for Swachhta and LiFE. Develop a dashboard aimed at maintaining cleanliness and LiFE practices, integrating AI-powered image processing technology for effective monitoring of Swachhta and green practices adopted in post offices. The dashboard needs to be accessible from the Divisional Office offering surveillance capabilities and triggering alerts for deviation from prescribed Swachhta and Green Growth standards to prompt on ground intervention to guide the post office concerned to make necessary changes to conform to set expectations.",Software,SIH1751,108,Clean & Green Technology
219,Ministry of Communication,"Measurement and Monitoring of Counter Services ""Develop a simple to use application for measurement and monitoring of counter services offered by Post Offices for their customers while providing ease of access to mail, parcel, financial, payment, insurance and citizen centric services from each Post Office. The solution suggested should integrate traditional and modern Industry 4.0 Technology based solution to this fundamental challenge faced by the DoP across its vast network. Integrating AI-powered image processing technology for effective monitoring of smooth, hassle free and efficient counter services based on live feed of customer service areas for a delightful customer experience are expected as a solution. Ease of application of the solution in the practical setting is key to the assessment criteria for this problem. The dashboard needs to be accessible at the Post Office and to its higher offices in the chain upto Divisional and Regional Office"".",Software,SIH1752,125,Smart Automation
220,Ministry of Communication,"Road Transport Network Telematics Develop a telematics solution to enable efficient trucking operations for the long haul to connect the country through route optimization, live tracking and monitoring, optimal capacity utilization analysis and to enable appropriate response.",Software,SIH1753,127,Transportation & Logistics
221,Ministry of Communication,"A Digital BRSR Platform for India Post Network ""The Department of Posts (DoP) in India requires a cutting-edge, digital solution to implement a Business Responsibility & Sustainability Reporting (BRSR) framework. This platform aims to transform DoP into a leader in environmental and social sustainability while fostering transparency and accountability towards stakeholders.""",Software,SIH1754,78,Clean & Green Technology
222,Ministry of Communication,"Data Insights and Strategic Unit (DISU) at the Divisional Level for DoP ""The Divisional Office as the nerve centre of administration, governance and control over the widespread national postal network requires a robust monitoring, analytics, visualisation and feedback mechanism to take advantage of digitisation and data driven governance.""",Hardware,SIH1755,51,Miscellaneous
223,Ministry of Communication,Bridging the Measurability Gap - A Digital Solution for validated Citizens Charter norms?ö?ç?û adherence across public interfaces and customer touchpoints of DoP,Software,SIH1756,110,Transportation & Logistics
224,Ministry of Communication,"India Post A Bridge for Indian Diaspora to access things Indian "" Building a community of Indian Diaspora for meeting their needs of Indian Products (traditional/ ethnic / handicrafts) through India Post by connecting PIOs with local sellers / MSME / Artisans""",Software,SIH1757,148,Transportation & Logistics
225,Ministry of Communication,"AI-Powered Delivery Post Office Identification System ?ö?ç?ú The wide, evolving delivery network of the Post Office makes it difficult for customers to write the correct pin code on the postal items for delivery. The Post Office also merges Pincodes together to mechanise and streamline delivery in the emerging volume and mix of mail handled at different stages, including the point of delivery. An intelligent solution, powered by AI is needed to meet the dynamic design of the supply chain both for customers as well as operators within India Post.",Software,SIH1758,105,Transportation & Logistics
226,Ministry of Communication,"DYNAMIC MAIL TRANSMISSION SOLUTION USING BEST CONNECTIVITY ACROSS MODES ""Serving a large country like India with the habitations across states, cities, towns, blocks and villages with geographic diversity as well is a complex task. The availability of multiple modes of transport for secure transmission of mail, parcels, cargo and people is a boon. Postal mail with its volume, value and weight profile has unique requirements for efficient and effective transmission to cover all delivery points around the sorting and transmission hubs that have been created over the years. With a focus on dynamic allocation and use of available transport within the structure of mail operations defined by the Department of Posts, we need a system to help choose the best mode across land, rail, air and water for fastest transmission of mail in each local context. """,Software,SIH1759,137,Transportation & Logistics
227,Ministry of Communication,"AI based identification of Financial (Banking & Insurance) needs based on demography and economic / farming Cycle ""While the Post Office Network serves everyone, everywhere, on all days, the need for various services including financial and insurance services has a seasonal variation to it. There is a need to time communication and support to customers at times they require it most based on their daily routines. A robust system to segment, target and focus on each customer based on their needs from time to time is needed for India Post to direct its service force to make efforts in response to such needs.""",Software,SIH1760,130,Miscellaneous
228,Ministry of Communication,"AI based Customized time slot Delivery of Articles/Parcels "" To align with the needs of the modern lifestyles of customers and their expected time of availability at the home or office address where an item needs to be delivered, the time slot can be decided in consultation with the customer based on an AI Driven correspondence system as per demand/request of the Sender or Receiver""",Software,SIH1761,154,Transportation & Logistics
229,Ministry of Communication,"Building a National Web Community of Philatelists ""This is to overcome challenges faced by philatelists across India and to design a solution that enhances their experience and fills up gaps in access to information, raising demand and ensuring fulfillment as per interest for each Philatelic item and ancillaries released and made anywhere in the country through a web based community and a National Philately Deposit Account.",Software,SIH1762,200,Transportation & Logistics
230,Ministry of Jal Shakti,"Grey Water Management (GWM)- Implementing low cost technical solutions to mitigate water contamination, especially removal of contaminants, before discharge into rivers and lakes.",Hardware,SIH1764,118,Clean & Green Technology
231,Ministry of Jal Shakti,Grey Water Management (GWM) - Mechanism for treating grey water and black water together in densely populated areas preferably having low land implication.,Hardware,SIH1765,104,Clean & Green Technology
232,Ministry of Jal Shakti,GOBARdhan - Low-cost kits to measure nutrient content of F/L OM,Hardware,SIH1767,60,Clean & Green Technology
233,Ministry of Jal Shakti,GOBARdhan - Low-cost enrichment models for F/L OM (Fermented / Liquied Organic Manure),Hardware,SIH1768,47,Clean & Green Technology
234,Ministry of Jal Shakti,Personalized testing kits for testing Bacteriological contamination at delivery points,Hardware,SIH1770,66,Smart Automation
235,Ministry of Jal Shakti,Personalized testing kits for testing Residual Silver ion level at delivery points,Hardware,SIH1771,62,Smart Automation
236,"National Security Guard (NSG), MHA",Live Location Tracking,Software,SIH1772,134,Miscellaneous
237,"National Security Guard (NSG), MHA",Conversion of 2D Blueprints into 3D Model,Software,SIH1773,126,Smart Automation
238,"Indo-Tibetan Border Police (ITBP), MHA",Indigenous logistics Drones to enhance operational & logistic capability,Hardware,SIH1774,116,Robotics and Drones
239,"Indo-Tibetan Border Police (ITBP), MHA",Fake social media accounts and their detection,Software,SIH1775,258,Blockchain & Cybersecurity
240,"Indo-Tibetan Border Police (ITBP), MHA","Design and develop an AI-powered operational management system to optimize resource utilization, enhance situational awareness and improve decision-making processes.",Software,SIH1776,146,Smart Automation
241,Ministry of Skill Development and Entrepreneurship (MSDE),AI-Driven Inclusive Assessment Tools for Skill Ecosystem,Software,SIH1777,106,Smart Education
242,Ministry of Skill Development and Entrepreneurship (MSDE),Innovative Gerontological Care Solutions: Designing the Future of Elderly Care Products,Hardware,SIH1778,153,MedTech / BioTech / HealthTech
243,Ministry of Skill Development and Entrepreneurship (MSDE),Voice-Controlled Gaming Tools for Enhanced Learning in the Skill Ecosystem,Software,SIH1779,96,Toys & Games
244,Ministry of Skill Development and Entrepreneurship (MSDE),Designing Innovative Products for Empowering the Delivery Workforce,Hardware,SIH1780,127,Smart Education
245,Ministry of Skill Development and Entrepreneurship (MSDE),AI-Enhanced Career Guidance System for Personalized Career Pathways,Software,SIH1781,298,Smart Education
246,Ministry of Information and Broadcasting,An online system to automatically verify new title submissions by checking for similarities with existing titles,Software,SIH1782,110,Miscellaneous
247,Madhya Pradesh Police,Money is being transacted by criminals in crypto currency,Software,SIH1783,140,Blockchain & Cybersecurity
248,Madhya Pradesh Police,Domain hosting details,Software,SIH1784,105,Blockchain & Cybersecurity
249,Madhya Pradesh Police,Universal Programming Kit,Software,SIH1785,121,Miscellaneous
250,Madhya Pradesh Police,"A Software, AI App to provide legal information ie. Case laws various important landmark judgement on important case legal matters.",Software,SIH1786,287,Smart Automation
251,Madhya Pradesh Police,Fuzzy Name conversion of Hindi Names in Police Records,Software,SIH1787,163,Miscellaneous
252,Madhya Pradesh Police,Development and Implementation of Face Recognition Technology in the Police Department,Software,SIH1788,192,Smart Automation
253,Madhya Pradesh Police,Hardware Inventory Management in the Police Department,Software,SIH1789,204,Smart Resource Conservation
254,Madhya Pradesh Police,Face Recognition Surveillance System and Communication Systems for Missing Persons or Items at Simhastha Ujjain for the Police Department,Software,SIH1790,190,Smart Automation
